SIZE_LOC,NOM,AVG_METHOD_SIZE,CYCLO_COMPLEXITY,FAN_OUT,NR,FIX_RATE,NAUTH,LOC_ADDED,MAX_LOC_ADDED,CHURN,MAX_CHURN,MAX_CHANGE_SET_SIZE,AVG_MODIFIED_DIRS,CLASS_AGE,AGE_SINCE_LAST_CHANGE,OWNERSHIP_RATIO,CROSS_DIRECTORY_CHANGE_RATIO,NSMELLS,SMELL_DENSITY,Bugginess
44,1,44.000000,2,2,10,0.000000,2,215,55,386,87,1028,37.700000,198,82,0.900000,1.000000,0,0.000000,no
90,4,22.500000,4,5,5,0.000000,2,126,79,162,79,1028,32.200000,132,82,0.600000,1.000000,0,0.000000,no
44,1,44.000000,2,2,10,0.000000,2,215,55,386,87,1028,37.700000,198,82,0.900000,1.000000,0,0.000000,no
62,4,15.500000,4,4,5,0.000000,2,94,72,126,72,1028,32.200000,132,82,0.600000,1.000000,0,0.000000,no
62,4,15.500000,4,4,5,0.000000,2,93,72,124,72,1028,32.200000,132,82,0.600000,1.000000,0,0.000000,no
41,2,20.500000,2,0,10,0.000000,2,131,36,221,68,1028,37.700000,198,99,0.900000,1.000000,0,0.000000,no
41,2,20.500000,2,0,10,0.000000,2,131,36,221,68,1028,37.700000,198,99,0.900000,1.000000,0,0.000000,no
78,4,19.500000,4,5,5,0.000000,2,106,73,134,73,1028,32.200000,132,82,0.600000,1.000000,0,0.000000,no
33,0,0.000000,0,0,11,0.000000,2,146,35,259,67,1028,34.818182,198,82,0.818182,1.000000,0,0.000000,no
38,1,38.000000,1,0,8,0.000000,1,92,45,146,45,1028,42.875000,198,132,1.000000,1.000000,0,0.000000,no
36,1,36.000000,1,0,10,0.000000,1,127,31,218,59,1028,37.200000,198,132,1.000000,1.000000,0,0.000000,no
54,4,13.500000,4,3,6,0.000000,2,70,58,86,58,1028,29.500000,132,29,0.500000,1.000000,0,0.000000,no
41,2,20.500000,2,0,9,0.000000,1,167,53,293,76,1028,41.222222,198,132,1.000000,1.000000,0,0.000000,no
49,1,49.000000,1,3,6,0.000000,2,137,57,225,110,1028,42.833333,140,82,0.833333,1.000000,0,0.000000,no
50,1,50.000000,1,3,6,0.000000,2,137,57,224,110,1028,42.833333,140,82,0.833333,1.000000,0,0.000000,no
60,4,15.000000,4,4,3,0.000000,1,61,60,62,60,1028,52.666667,132,90,1.000000,1.000000,0,0.000000,no
149,12,12.416667,12,7,2,0.000000,1,149,149,149,149,1028,68.500000,132,132,1.000000,1.000000,0,0.000000,yes
66,5,13.200000,5,1,4,0.000000,1,71,67,76,67,1028,41.000000,132,14,1.000000,1.000000,0,0.000000,no
79,7,11.285714,7,11,2,0.000000,1,79,79,79,79,1028,68.500000,132,132,1.000000,1.000000,0,0.000000,no
58,6,9.666667,6,6,3,0.000000,2,60,58,62,58,1028,50.666667,132,123,0.666667,1.000000,0,0.000000,no
48,2,24.000000,2,4,2,0.000000,1,48,48,48,48,1028,68.500000,132,132,1.000000,1.000000,0,0.000000,no
59,4,14.750000,4,5,2,0.000000,1,59,59,59,59,1028,68.500000,132,132,1.000000,1.000000,0,0.000000,no
48,2,24.000000,2,4,2,0.000000,1,48,48,48,48,1028,68.500000,132,132,1.000000,1.000000,0,0.000000,no
69,4,17.250000,7,7,4,0.000000,2,77,62,85,62,1028,37.250000,132,21,0.500000,1.000000,0,0.000000,no
48,3,16.000000,3,3,2,0.000000,1,48,48,48,48,1028,68.500000,132,132,1.000000,1.000000,0,0.000000,no
43,3,14.333333,3,2,9,0.000000,1,187,53,331,90,1028,41.222222,198,132,1.000000,1.000000,0,0.000000,no
42,3,14.000000,3,1,11,0.000000,1,135,31,228,59,1028,34.363636,198,14,1.000000,1.000000,0,0.000000,no
